game_id,player_id,timestamp,tic,x,y,z,angle,momx
1,1,2025-11-05 10:11:26,89,-32,-240,24,79.85,-1,-1
1,1,2025-11-05 10:11:27,132,-28,-227,24,72.25,0,0
1,1,2025-11-05 10:11:31,287,-40,-193,24,110.08,-3,8
1,1,2025-11-05 10:11:32,322,-141,-20,24,153.81,-8,4
1,1,2025-11-05 10:11:33,357,-411,111,24,128.98,-3,0
1,1,2025-11-05 10:11:34,392,-437,130,24,94.26,-1,0
1,1,2025-11-05 10:11:35,427,-354,113,24,95.10,-1,-1
1,1,2025-11-05 10:11:36,462,-362,105,24,92.94,-1,-1
1,1,2025-11-05 10:11:38,498,-362,100,24,92.50,-1,0
1,1,2025-11-05 10:11:40,584,-348,58,24,118.61,-1,0
1,1,2025-11-05 10:11:41,619,-616,153,24,216.17,-6,-1
1,1,2025-11-05 10:11:42,654,-625,131,24,307.00,2,-2
1,1,2025-11-05 10:11:43,689,-607,109,24,205.53,-1,-1
1,1,2025-11-05 10:11:44,724,-608,78,24,217.31,-3,-3
1,1,2025-11-05 10:11:45,759,-676,-104,24,246.09,-10,-8
1,1,2025-11-05 10:11:46,794,-688,-68,128,79.50,0,-2
1,1,2025-11-05 10:11:47,830,-688,-110,84,78.97,0,1
1,1,2025-11-05 10:11:48,865,-675,-34,24,85.43,0,1
1,1,2025-11-05 10:11:49,900,-663,23,24,80.29,0,1
1,1,2025-11-05 10:11:50,935,-646,221,24,88.33,0,1
1,1,2025-11-05 10:11:51,970,-645,240,24,75.72,0,0
1,1,2025-11-05 10:11:52,1005,-627,273,24,55.42,4,8
1,1,2025-11-05 10:11:53,1040,-517,368,24,275.67,2,-8
1,1,2025-11-05 10:11:54,1075,-325,103,24,332.97,6,-4
1,1,2025-11-05 10:11:55,1110,-244,50,24,299.71,0,-1
1,1,2025-11-05 10:11:56,1145,-221,31,24,341.81,5,-3
1,1,2025-11-05 10:11:57,1180,121,-6,24,42.28,8,3
1,1,2025-11-05 10:11:58,1215,317,141,24,47.20,4,4
1,1,2025-11-05 10:11:59,1250,413,260,24,58.32,0,0
1,1,2025-11-05 10:12:00,1285,426,281,24,65.04,0,0
1,1,2025-11-05 10:12:01,1320,400,435,24,127.92,-6,11
1,1,2025-11-05 10:12:02,1355,129,658,24,116.59,-4,2
1,1,2025-11-05 10:12:03,1390,18,891,24,104.37,-4,11
1,1,2025-11-05 10:12:04,1425,-33,850,24,287.80,-1,-4
1,1,2025-11-05 10:12:05,1460,20,713,24,352.57,-1,-1
