game_id,player_id,timestamp,tic,x,y,z,angle,momx
9,1,2025-11-27 10:45:14,10,160,352,0,271.23,-1,0
9,1,2025-11-27 10:45:15,45,162,292,0,270.18,0,-5
9,1,2025-11-27 10:45:16,80,80,203,0,242.36,-1,-1
9,1,2025-11-27 10:45:17,115,93,199,0,337.15,0,-1
9,1,2025-11-27 10:45:18,150,102,191,0,328.10,0,-1
9,1,2025-11-27 10:45:25,387,100,188,0,318.08,0,-1
9,1,2025-11-27 10:45:26,422,186,111,0,319.79,2,-3
9,1,2025-11-27 10:45:27,457,161,136,0,280.59,0,-2
9,1,2025-11-27 10:45:28,492,144,147,0,152.75,-6,4
9,1,2025-11-27 10:45:29,527,82,184,0,287.71,0,-2
9,1,2025-11-27 10:45:30,562,94,157,0,321.20,0,-1
9,1,2025-11-27 10:45:31,599,122,144,0,325.20,3,-1
9,1,2025-11-27 10:45:32,644,150,141,0,290.92,0,-2
9,1,2025-11-27 10:45:33,679,184,88,0,288.50,0,-2
9,1,2025-11-27 10:45:34,714,210,2,0,286.04,0,-2
9,1,2025-11-27 10:45:35,749,257,-17,0,2.86,6,-1
9,1,2025-11-27 10:45:36,784,431,-22,0,298.12,-1,-1
9,1,2025-11-27 10:45:37,824,431,-12,0,256.16,0,0
9,1,2025-11-27 10:45:39,864,427,-25,0,259.23,0,2
9,1,2025-11-27 10:45:40,899,428,-7,0,262.13,-1,0
9,1,2025-11-27 10:45:41,941,431,-92,-8,265.56,-1,-5
9,1,2025-11-27 10:45:42,976,410,-304,-24,258.88,-1,-6
9,1,2025-11-27 10:45:43,1011,411,-405,0,112.16,0,-1
9,1,2025-11-27 10:45:52,1303,161,331,0,276.02,0,-4
9,1,2025-11-27 10:45:53,1338,174,214,0,278.96,0,-1
9,1,2025-11-27 10:45:54,1373,197,100,0,273.25,0,-3
9,1,2025-11-27 10:45:55,1408,201,22,0,274.53,-1,6
9,1,2025-11-27 10:45:56,1443,177,162,0,207.07,-5,-2
9,1,2025-11-27 10:45:57,1482,80,144,0,236.65,0,0
9,1,2025-11-27 10:45:58,1517,92,160,0,316.19,0,-1
9,1,2025-11-27 10:46:00,1580,108,146,0,324.01,-1,0
9,1,2025-11-27 10:46:01,1621,91,157,0,325.63,0,-1
9,1,2025-11-27 10:46:04,1707,93,155,0,326.29,-2,0
9,1,2025-11-27 10:46:06,1795,100,152,0,329.41,1,-1
9,1,2025-11-27 10:46:07,1830,143,144,0,322.91,1,-1
9,1,2025-11-27 10:46:08,1865,163,141,0,319.44,-5,3
9,1,2025-11-27 10:46:09,1900,129,175,0,301.73,0,0
9,1,2025-11-27 10:46:10,1937,111,145,0,211.95,-3,-2
9,1,2025-11-27 10:46:11,1972,86,150,0,263.45,0,1
9,1,2025-11-27 10:46:12,2007,103,155,0,318.12,0,-1
9,1,2025-11-27 10:46:14,2066,115,145,0,321.02,0,-1
9,1,2025-11-27 10:46:15,2101,148,142,0,308.32,0,-1
9,1,2025-11-27 10:46:16,2140,158,134,0,295.00,0,-1
9,1,2025-11-27 10:46:17,2177,172,116,0,294.96,2,-4
9,1,2025-11-27 10:46:18,2212,207,42,0,292.28,0,-2
9,1,2025-11-27 10:46:19,2247,163,147,0,293.77,-2,2
9,1,2025-11-27 10:46:20,2282,138,203,0,294.30,-1,0
9,1,2025-11-27 10:46:21,2317,141,198,0,294.30,0,-1
9,1,2025-11-27 10:46:22,2352,150,177,0,294.30,0,-1
9,1,2025-11-27 10:46:23,2387,161,154,0,294.43,0,-1
9,1,2025-11-27 10:46:24,2422,166,138,0,287.71,0,-1
9,1,2025-11-27 10:46:25,2457,173,117,0,280.94,-1,0
9,1,2025-11-27 10:46:26,2492,189,58,0,239.06,-1,-4
9,1,2025-11-27 10:46:27,2527,196,9,0,344.58,3,-2
9,1,2025-11-27 10:46:28,2562,306,-11,0,356.66,8,-1
9,1,2025-11-27 10:46:29,2597,426,-12,0,298.34,-1,1
9,1,2025-11-27 10:46:30,2632,431,-86,-5,269.21,-1,-2
9,1,2025-11-27 10:46:31,2667,431,-117,-16,266.04,-1,-1
9,1,2025-11-27 10:46:32,2714,427,-156,-21,266.62,-1,-5
9,1,2025-11-27 10:46:33,2749,412,-327,-16,246.67,-1,-4
9,1,2025-11-27 10:46:34,2784,381,-400,0,233.61,-1,-2
9,1,2025-11-27 10:46:35,2819,368,-434,0,197.27,-1,-1
9,1,2025-11-27 10:46:36,2854,368,-440,0,187.12,-1,-1
9,1,2025-11-27 10:46:38,2923,380,-440,0,181.89,1,0
9,1,2025-11-27 10:46:39,2958,402,-437,0,248.47,0,0
9,1,2025-11-27 10:46:40,2993,405,-557,0,211.55,-1,-1
9,1,2025-11-27 10:46:41,3028,196,-553,0,179.47,-3,0
9,1,2025-11-27 10:46:42,3063,17,-545,0,108.33,0,-2
9,1,2025-11-27 10:46:43,3098,31,-512,0,18.68,-1,0
9,1,2025-11-27 10:46:45,3142,32,-524,0,279.76,1,-6
9,1,2025-11-27 10:46:46,3177,16,-521,0,348.75,-1,0
9,1,2025-11-27 10:46:47,3212,29,-523,0,351.34,-1,0
9,1,2025-11-27 10:46:48,3247,16,-526,0,10.02,-1,-1
9,1,2025-11-27 10:46:49,3300,23,-560,0,267.36,0,-1
9,1,2025-11-27 10:46:50,3335,16,-528,0,353.41,-1,0
9,1,2025-11-27 10:46:57,3568,23,-525,0,13.01,0,0
9,1,2025-11-27 10:46:58,3603,33,-523,0,13.62,0,0
9,1,2025-11-27 10:46:59,3641,16,-524,0,328.71,0,-1
9,1,2025-11-27 10:47:00,3676,94,-560,0,344.62,0,-1
9,1,2025-11-27 10:47:01,3711,109,-560,0,18.06,0,0
9,1,2025-11-27 10:47:02,3750,106,-560,0,30.50,-1,0
9,1,2025-11-27 10:47:03,3785,107,-556,0,3.25,0,0
9,1,2025-11-27 10:47:04,3820,191,-559,0,358.11,4,-1
9,1,2025-11-27 10:47:05,3861,423,-560,0,14.28,1,0
9,1,2025-11-27 10:47:06,3896,423,-556,0,93.65,0,-1
9,1,2025-11-27 10:47:08,3957,420,-508,0,63.72,-1,0
9,1,2025-11-27 10:47:09,4003,397,-560,0,69.74,-1,-1
9,1,2025-11-27 10:47:10,4046,397,-551,0,130.25,-1,0
9,1,2025-11-27 10:47:11,4081,236,-479,0,190.42,-2,0
9,1,2025-11-27 10:47:12,4116,0,-479,0,189.05,-1,-1
9,1,2025-11-27 10:47:13,4151,42,-480,0,358.95,1,0
9,1,2025-11-27 10:47:14,4186,171,-560,0,335.04,4,-1
9,1,2025-11-27 10:47:15,4221,404,-560,0,356.26,3,0
9,1,2025-11-27 10:47:17,4290,423,-553,0,95.10,-1,0
9,1,2025-11-27 10:47:19,4345,423,-560,0,96.42,0,-1
9,1,2025-11-27 10:47:28,4656,422,-556,0,100.77,-1,0
9,1,2025-11-27 10:47:29,4691,423,-560,0,101.25,0,-1
9,1,2025-11-27 10:47:31,4779,420,-553,0,157.15,-1,0
9,1,2025-11-27 10:47:33,4819,415,-522,0,93.03,-1,1
9,1,2025-11-27 10:47:34,4854,409,-391,0,91.05,-1,2
9,1,2025-11-27 10:47:35,4889,403,-211,-32,91.54,-1,6
9,1,2025-11-27 10:47:36,4924,417,-20,0,93.96,0,4
9,1,2025-11-27 10:47:37,4970,426,-9,0,182.72,-1,-1
9,1,2025-11-27 10:47:40,5064,431,-9,0,180.92,0,0
9,1,2025-11-27 10:47:42,5150,431,-8,0,181.41,0,0
9,1,2025-11-27 10:47:43,5201,419,-11,0,179.03,-1,0
9,1,2025-11-27 10:47:45,5243,430,-12,0,259.58,-1,0
9,1,2025-11-27 10:47:46,5278,402,-241,-32,271.41,-2,-10
9,1,2025-11-27 10:47:47,5313,388,-521,0,291.97,-1,-4
9,1,2025-11-27 10:47:48,5348,366,-560,0,116.02,0,0
9,1,2025-11-27 10:47:49,5383,408,-517,0,72.16,0,-1
9,1,2025-11-27 10:47:50,5418,409,-529,0,90.92,0,-1
9,1,2025-11-27 10:47:51,5457,409,-560,0,91.54,0,-1
9,1,2025-11-27 10:47:55,5620,409,-548,0,92.68,-1,1
9,1,2025-11-27 10:47:56,5655,406,-494,0,78.09,0,1
9,1,2025-11-27 10:47:57,5690,413,-458,0,97.12,0,-1
9,1,2025-11-27 10:47:59,5751,414,-463,0,100.46,-1,0
9,1,2025-11-27 10:48:00,5786,411,-309,-16,90.83,-1,7
9,1,2025-11-27 10:48:01,5821,415,-36,0,113.82,0,2
9,1,2025-11-27 10:48:03,5883,431,-32,0,187.08,0,0
