game_id,player_id,timestamp,tic,x,y,z,angle,momx
11,5,2025-11-27 11:03:02,38,608,4576,8,270.00,0,-1
11,5,2025-11-27 11:03:03,77,601,4437,8,231.42,-2,-8
11,5,2025-11-27 11:03:04,112,437,4355,0,161.10,-6,1
11,5,2025-11-27 11:03:05,147,343,4399,0,298.26,0,-1
11,5,2025-11-27 11:03:06,182,422,4341,0,298.83,4,-7
11,5,2025-11-27 11:03:07,217,507,4278,0,300.54,2,-2
11,5,2025-11-27 11:03:08,252,535,4180,0,234.01,-1,-2
11,5,2025-11-27 11:03:09,288,536,4177,0,257.56,0,0
11,5,2025-11-27 11:03:10,323,540,4190,0,258.09,0,0
11,5,2025-11-27 11:03:11,358,541,4201,0,263.94,0,0
11,5,2025-11-27 11:03:12,401,542,4213,0,271.85,0,-2
11,5,2025-11-27 11:03:13,436,546,4070,0,273.12,0,-7
11,5,2025-11-27 11:03:14,471,568,3946,0,221.70,-1,-3
11,5,2025-11-27 11:03:15,506,423,3870,0,213.13,-2,-1
11,5,2025-11-27 11:03:16,541,348,3802,0,150.78,-2,-1
11,5,2025-11-27 11:03:17,576,427,3826,0,70.84,2,1
11,5,2025-11-27 11:03:18,611,477,4044,0,60.12,0,2
11,5,2025-11-27 11:03:19,646,536,4156,0,66.71,2,4
11,5,2025-11-27 11:03:20,681,593,4278,0,158.07,1,0
11,5,2025-11-27 11:03:21,716,604,4281,0,265.52,-1,-4
11,5,2025-11-27 11:03:22,751,528,4164,0,166.55,-1,-1
11,5,2025-11-27 11:03:23,786,569,4112,0,271.49,0,-2
11,5,2025-11-27 11:03:24,821,504,4038,0,271.05,-4,-7
11,5,2025-11-27 11:03:25,856,553,3822,0,298.21,3,-7
11,5,2025-11-27 11:03:26,891,646,3705,0,270.70,1,-3
11,5,2025-11-27 11:03:27,926,663,3674,0,253.70,-1,-1
11,5,2025-11-27 11:03:28,961,667,3607,0,257.87,0,-1
11,5,2025-11-27 11:03:29,996,671,3621,0,260.77,0,0
11,5,2025-11-27 11:03:30,1044,673,3629,0,255.28,-1,-1
11,5,2025-11-27 11:03:31,1079,638,3511,0,247.54,-3,-8
11,5,2025-11-27 11:03:32,1114,515,3278,0,191.91,-1,-2
11,5,2025-11-27 11:03:33,1149,432,3239,0,153.72,-2,-1
11,5,2025-11-27 11:03:34,1184,426,3230,0,159.65,0,-1
11,5,2025-11-27 11:03:35,1219,436,3219,0,160.80,0,-1
