game_id,player_id,timestamp,tic,x,y,z,angle,momx
5,5,2025-11-05 09:49:44,17,1424,1776,72,270.44,-1,0
5,5,2025-11-05 09:49:45,52,1422,1792,72,284.41,0,-1
5,5,2025-11-05 09:49:51,273,1420,1717,72,220.61,-3,-6
5,5,2025-11-05 09:49:52,308,1346,1605,72,267.71,4,7
5,5,2025-11-05 09:49:53,343,1408,1707,72,344.53,2,-4
5,5,2025-11-05 09:49:54,378,1284,1889,72,290.65,-6,12
5,5,2025-11-05 09:49:55,413,1322,1838,72,355.08,2,-2
5,5,2025-11-05 09:49:56,448,1415,1863,72,39.20,1,0
5,5,2025-11-05 09:49:57,483,1505,1740,72,240.38,0,-10
5,5,2025-11-05 09:49:58,518,1488,1611,72,275.05,0,-6
5,5,2025-11-05 09:49:59,553,1511,1433,64,4.92,1,0
5,5,2025-11-05 09:50:00,588,1489,1486,64,75.45,2,10
5,5,2025-11-05 09:50:01,623,1583,1627,72,84.20,0,5
5,5,2025-11-05 09:50:02,658,1568,1874,72,230.19,5,-1
5,5,2025-11-05 09:50:03,693,1573,1870,72,266.79,0,2
5,5,2025-11-05 09:50:04,728,1390,1880,72,217.35,-13,-5
5,5,2025-11-05 09:50:05,763,1199,1661,72,291.14,0,-10
5,5,2025-11-05 09:50:06,798,1168,1568,72,12.35,0,-1
5,5,2025-11-05 09:50:07,833,1450,1598,72,342.51,9,1
5,5,2025-11-05 09:50:08,868,1521,1558,72,132.06,-4,2
5,5,2025-11-05 09:50:09,903,1583,1609,72,97.03,-1,7
5,5,2025-11-05 09:50:10,938,1419,1833,72,173.94,5,-1
5,5,2025-11-05 09:50:11,973,1452,1864,72,265.08,2,10
5,5,2025-11-05 09:50:12,1008,1447,1881,72,265.61,-2,3
5,5,2025-11-05 09:50:13,1043,1453,1854,72,252.29,1,0
5,5,2025-11-05 09:50:14,1078,1449,1871,72,263.72,-2,-5
5,5,2025-11-05 09:50:15,1113,1477,1880,72,228.21,3,2
5,5,2025-11-05 09:50:16,1148,1554,1752,72,267.50,0,-12
5,5,2025-11-05 09:50:17,1183,1488,1521,72,279.76,0,-1
5,5,2025-11-05 09:50:18,1225,1709,1442,64,346.42,7,-5
5,5,2025-11-05 09:50:19,1260,1898,1500,64,122.43,-1,3
5,5,2025-11-05 09:50:20,1295,1896,1837,72,102.26,-3,6
5,5,2025-11-05 09:50:21,1330,1886,1864,72,81.09,0,-1
