game_id,player_id,timestamp,tic,x,y,z,angle,momx
7,6,2025-11-25 09:17:18,35,480,1904,-8,270.62,-1,0
7,6,2025-11-25 09:17:19,70,485,1918,-8,276.77,0,-4
7,6,2025-11-25 09:17:20,105,478,1952,-8,284.55,-1,0
7,6,2025-11-25 09:17:21,140,496,1836,-8,282.70,0,-6
7,6,2025-11-25 09:17:22,175,518,1733,0,276.81,0,0
7,6,2025-11-25 09:17:23,210,525,1640,0,276.11,0,-3
7,6,2025-11-25 09:17:24,245,532,1471,0,269.12,0,-4
7,6,2025-11-25 09:17:25,280,514,1317,0,247.90,-1,-4
7,6,2025-11-25 09:17:26,315,518,1289,0,205.18,-4,-2
7,6,2025-11-25 09:17:27,350,450,1265,0,190.63,-2,-1
7,6,2025-11-25 09:17:28,385,549,1337,0,248.64,6,10
7,6,2025-11-25 09:17:29,420,523,1412,0,241.74,-6,-9
7,6,2025-11-25 09:17:30,455,437,1292,0,238.40,0,0
7,6,2025-11-25 09:17:31,490,438,1365,0,262.05,0,3
7,6,2025-11-25 09:17:32,525,463,1602,0,264.33,1,14
7,6,2025-11-25 09:17:33,560,501,1967,-8,270.00,0,1
7,6,2025-11-25 09:17:35,627,504,1869,-8,270.00,0,-12
7,6,2025-11-25 09:17:36,662,507,1577,0,284.19,-1,-2
7,6,2025-11-25 09:17:37,697,497,1593,0,274.04,-1,5
7,6,2025-11-25 09:17:38,732,472,1654,0,260.60,-2,-6
7,6,2025-11-25 09:17:39,767,460,1598,0,256.16,-1,-1
7,6,2025-11-25 09:17:40,802,492,1748,0,257.21,0,4
7,6,2025-11-25 09:17:41,837,475,1707,0,249.08,-4,-9
7,6,2025-11-25 09:17:42,872,400,1492,0,268.15,-1,-1
7,6,2025-11-25 09:17:43,907,406,1331,0,276.59,0,-11
7,6,2025-11-25 09:17:44,942,381,1104,0,171.74,-3,0
7,6,2025-11-25 09:17:45,977,188,1141,0,199.16,-3,0
7,6,2025-11-25 09:17:46,1012,199,1150,0,239.46,-4,-7
7,6,2025-11-25 09:17:47,1047,55,901,0,331.13,-3,-1
7,6,2025-11-25 09:17:48,1089,49,905,0,340.75,0,-1
7,6,2025-11-25 09:17:49,1124,110,878,0,330.47,1,-1
7,6,2025-11-25 09:17:50,1159,147,857,0,328.80,1,-2
