game_id,player_id,timestamp,tic,x,y,z,angle,momx
4,4,2025-11-05 09:53:09,27,-224,-1872,32,90.44,0,-1
4,4,2025-11-05 09:53:13,156,-219,-1898,32,102.61,0,-3
4,4,2025-11-05 09:53:14,191,-219,-1912,40,172.66,-5,-1
4,4,2025-11-05 09:53:15,229,-209,-1920,40,242.36,-1,0
4,4,2025-11-05 09:53:16,265,-213,-1906,40,97.56,-1,2
4,4,2025-11-05 09:53:17,300,-225,-1865,32,65.96,1,5
4,4,2025-11-05 09:53:18,335,7,-1623,0,30.32,4,3
4,4,2025-11-05 09:53:19,370,7,-1345,0,108.24,-3,10
4,4,2025-11-05 09:53:20,405,84,-1363,0,237.48,-4,-7
4,4,2025-11-05 09:53:21,440,-202,-1536,0,170.95,-12,-1
4,4,2025-11-05 09:53:22,475,-330,-1512,0,108.50,-6,11
4,4,2025-11-05 09:53:23,510,-399,-1178,0,197.09,7,1
4,4,2025-11-05 09:53:24,545,-465,-1355,0,235.20,-6,-15
4,4,2025-11-05 09:53:25,580,-856,-1480,0,121.20,-7,3
4,4,2025-11-05 09:53:26,615,-893,-1403,0,79.28,0,12
4,4,2025-11-05 09:53:27,650,-879,-1106,0,96.94,0,-9
4,4,2025-11-05 09:53:28,685,-867,-1232,0,93.96,-2,12
4,4,2025-11-05 09:53:29,720,-904,-982,0,139.26,-2,-2
4,4,2025-11-05 09:53:30,755,-909,-849,0,120.54,-1,0
4,4,2025-11-05 09:53:31,790,-939,-886,0,86.40,0,6
4,4,2025-11-05 09:53:32,825,-916,-831,8,81.74,-1,-2
4,4,2025-11-05 09:53:33,860,-899,-1071,0,94.70,0,-1
4,4,2025-11-05 09:53:34,895,-915,-923,0,95.71,1,-10
4,4,2025-11-05 09:53:35,930,-912,-878,0,97.25,0,-2
4,4,2025-11-05 09:53:36,965,-908,-896,0,91.76,-2,7
4,4,2025-11-05 09:53:37,1000,-916,-963,0,93.87,0,-5
4,4,2025-11-05 09:53:38,1035,-919,-827,8,92.07,0,-2
4,4,2025-11-05 09:53:39,1070,-930,-789,8,97.21,0,-3
4,4,2025-11-05 09:53:40,1105,-905,-1002,0,98.09,-1,7
4,4,2025-11-05 09:53:41,1140,-935,-731,6,92.02,-1,11
4,4,2025-11-05 09:53:42,1175,-924,-537,0,345.59,8,-3
4,4,2025-11-05 09:53:43,1210,-1008,-568,0,358.64,-1,-1
4,4,2025-11-05 09:53:44,1245,-843,-566,8,14.63,12,4
4,4,2025-11-05 09:53:45,1280,-660,-565,0,278.04,-1,1
4,4,2025-11-05 09:53:46,1315,-700,-597,0,286.92,4,-10
4,4,2025-11-05 09:53:47,1350,-560,-877,0,325.24,9,-10
4,4,2025-11-05 09:53:48,1385,-423,-975,0,15.64,3,2
4,4,2025-11-05 09:53:49,1420,-134,-1007,0,4.92,14,-2
4,4,2025-11-05 09:53:50,1455,-48,-989,0,25.18,4,2
4,4,2025-11-05 09:53:51,1490,172,-888,0,72.20,2,1
4,4,2025-11-05 09:53:52,1525,276,-560,0,106.00,0,13
4,4,2025-11-05 09:53:53,1560,272,-529,0,109.34,-2,0
4,4,2025-11-05 09:53:55,1622,-245,263,0,27.73,-3,-3
4,4,2025-11-05 09:53:56,1657,-220,261,0,121.25,-1,1
4,4,2025-11-05 09:53:57,1692,-290,365,0,85.69,-1,-1
4,4,2025-11-05 09:53:58,1735,-228,363,0,6.86,6,-1
4,4,2025-11-05 09:53:59,1770,-235,384,0,137.15,-6,4
4,4,2025-11-05 09:54:00,1805,-427,549,0,139.35,-10,6
4,4,2025-11-05 09:54:01,1840,-402,757,0,101.34,-2,6
4,4,2025-11-05 09:54:02,1875,-326,975,0,80.73,3,3
4,4,2025-11-05 09:54:03,1910,-318,945,0,38.58,2,-1
