game_id,player_id,timestamp,tic,x,y,z,angle,momx
5,5,2025-11-05 08:41:09,171,-224,-624,0,85.78,-1,-2
5,5,2025-11-05 08:41:11,206,-192,-594,0,187.03,-1,0
5,5,2025-11-05 08:41:12,241,-281,-627,0,2.81,2,2
5,5,2025-11-05 08:41:13,276,-26,-590,0,104.06,1,1
5,5,2025-11-05 08:41:14,311,-103,-576,0,97.03,-12,-2
5,5,2025-11-05 08:41:15,346,-376,-230,0,91.41,-3,15
5,5,2025-11-05 08:41:16,381,-212,-270,-9,82.97,12,-12
5,5,2025-11-05 08:41:17,416,-136,-150,0,188.44,-12,1
5,5,2025-11-05 08:41:18,451,-98,7,0,33.75,12,5
5,5,2025-11-05 08:41:19,486,180,353,40,87.19,0,15
5,5,2025-11-05 08:41:20,521,286,539,56,133.59,3,7
5,5,2025-11-05 08:41:21,556,155,735,56,156.09,-6,0
5,5,2025-11-05 08:41:23,596,130,735,56,323.44,8,0
5,5,2025-11-05 08:41:24,631,335,611,56,277.03,-2,-6
5,5,2025-11-05 08:41:25,666,316,609,56,282.66,0,0
5,5,2025-11-05 08:41:26,701,198,523,56,310.78,-7,2
5,5,2025-11-05 08:41:27,736,139,538,56,323.44,1,-2
5,5,2025-11-05 08:41:28,771,155,525,56,324.84,-5,3
5,5,2025-11-05 08:41:29,806,352,451,56,247.50,5,8
5,5,2025-11-05 08:41:30,841,311,273,56,52.03,3,2
5,5,2025-11-05 08:41:31,876,344,361,56,95.62,-2,-1
5,5,2025-11-05 08:41:32,911,314,314,56,99.84,-1,0
5,5,2025-11-05 08:41:33,946,334,326,56,119.53,-1,2
5,5,2025-11-05 08:41:34,988,311,385,56,116.72,-4,8
5,5,2025-11-05 08:41:35,1023,151,521,56,262.97,-1,-1
5,5,2025-11-05 08:41:36,1058,151,422,56,271.41,0,-8
5,5,2025-11-05 08:41:37,1093,155,360,48,271.41,-1,4
5,5,2025-11-05 08:41:38,1128,149,507,56,275.62,-1,1
5,5,2025-11-05 08:41:39,1163,151,545,56,277.03,5,5
5,5,2025-11-05 08:41:40,1198,177,397,56,271.41,-1,-2
5,5,2025-11-05 08:41:41,1233,172,373,51,271.41,0,-5
5,5,2025-11-05 08:41:42,1268,172,366,48,271.41,0,-3
5,5,2025-11-05 08:41:43,1303,171,399,56,271.41,0,-5
5,5,2025-11-05 08:41:44,1338,180,277,16,251.72,-2,-6
5,5,2025-11-05 08:41:45,1373,54,-7,0,98.44,-2,-1
5,5,2025-11-05 08:41:46,1408,-51,22,0,82.97,-2,0
5,5,2025-11-05 08:41:47,1443,-107,-16,0,85.78,-7,4
5,5,2025-11-05 08:41:48,1478,-194,-7,0,77.34,-1,0
5,5,2025-11-05 08:41:51,1543,-1,98,0,93.52,-1,6
5,5,2025-11-05 08:41:52,1578,-2,170,0,109.34,-1,0
5,5,2025-11-05 08:41:55,1686,-2,269,0,90.00,-1,7
5,5,2025-11-05 08:41:56,1721,-2,344,0,24.96,-1,0
5,5,2025-11-05 08:41:57,1764,59,413,0,28.48,2,2
5,5,2025-11-05 08:41:58,1799,88,443,0,341.02,0,0
5,5,2025-11-05 08:42:01,1892,190,432,0,353.32,1,-1
5,5,2025-11-05 08:42:05,2025,198,431,0,332.23,-2,0
5,5,2025-11-05 08:42:09,2164,186,433,0,342.77,2,-1
5,5,2025-11-05 08:42:10,2199,359,385,0,358.59,3,-1
5,5,2025-11-05 08:42:11,2234,554,376,0,358.59,5,-1
5,5,2025-11-05 08:42:12,2269,822,369,0,358.59,8,-1
5,5,2025-11-05 08:42:13,2304,1049,364,0,346.29,1,-1
5,5,2025-11-05 08:42:14,2339,1104,336,0,326.95,2,-3
5,5,2025-11-05 08:42:15,2374,1210,310,0,356.84,6,-1
5,5,2025-11-05 08:42:16,2409,1298,305,0,353.32,0,-1
5,5,2025-11-05 08:42:17,2445,1363,249,0,318.16,5,-5
5,5,2025-11-05 08:42:18,2480,1440,198,0,297.07,1,-4
5,5,2025-11-05 08:42:19,2515,1463,157,0,265.43,0,-1
5,5,2025-11-05 08:42:25,2749,1463,164,0,265.43,-1,0
5,5,2025-11-05 08:42:28,2863,1459,-42,0,268.95,-1,-9
5,5,2025-11-05 08:42:29,2898,1456,-216,0,272.46,-1,-5
5,5,2025-11-05 08:42:30,2933,1455,-260,0,30.23,-1,-1
5,5,2025-11-05 08:42:32,2970,1528,-141,0,65.39,2,4
5,5,2025-11-05 08:42:33,3005,1521,-35,0,128.67,-3,4
5,5,2025-11-05 08:42:34,3040,1474,9,0,191.95,-5,-1
5,5,2025-11-05 08:42:35,3075,1416,-8,0,246.45,-2,-4
5,5,2025-11-05 08:42:36,3110,1370,-111,0,322.03,-1,-1
5,5,2025-11-05 08:42:37,3145,1452,-174,0,302.70,1,-1
5,5,2025-11-05 08:42:38,3184,1463,-192,0,271.05,0,-4
5,5,2025-11-05 08:42:39,3219,1467,-303,0,325.55,1,-2
5,5,2025-11-05 08:42:40,3254,1614,-408,0,288.63,1,-2
5,5,2025-11-05 08:42:41,3289,1613,-458,0,227.11,-1,-2
5,5,2025-11-05 08:42:42,3324,1515,-471,0,207.77,-3,0
5,5,2025-11-05 08:42:43,3359,1491,-471,0,269.30,-1,0
5,5,2025-11-05 08:42:45,3437,1488,-617,0,176.13,-1,1
5,5,2025-11-05 08:42:46,3472,1486,-597,0,93.52,-1,0
5,5,2025-11-05 08:42:48,3541,1563,-522,0,95.27,0,0
5,5,2025-11-05 08:42:49,3576,1554,-353,0,82.97,-1,3
5,5,2025-11-05 08:42:50,3611,1551,-318,0,319.92,-1,0
5,5,2025-11-05 08:42:52,3691,1487,-450,0,253.12,-2,-4
5,5,2025-11-05 08:42:53,3726,1473,-527,0,275.98,0,-6
5,5,2025-11-05 08:42:54,3761,1495,-624,0,275.98,0,-1
5,5,2025-11-05 08:42:58,3885,1490,-620,0,163.48,-4,1
5,5,2025-11-05 08:42:59,3920,1424,-594,0,114.26,0,0
5,5,2025-11-05 08:43:00,3958,1424,-526,0,179.30,-1,0
5,5,2025-11-05 08:43:01,3993,1360,-538,0,186.33,0,-1
5,5,2025-11-05 08:43:04,4122,1362,-486,0,82.62,0,6
5,5,2025-11-05 08:43:05,4157,1367,-411,0,31.64,0,0
5,5,2025-11-05 08:43:07,4221,1454,-453,0,333.63,6,-4
5,5,2025-11-05 08:43:08,4256,1592,-510,0,43.95,3,1
5,5,2025-11-05 08:43:09,4291,1646,-469,0,15.82,0,0
5,5,2025-11-05 08:43:13,4404,1641,-356,0,93.16,-1,7
5,5,2025-11-05 08:43:14,4439,1626,-74,0,93.16,-1,8
5,5,2025-11-05 08:43:15,4474,1565,56,0,144.14,-6,3
5,5,2025-11-05 08:43:16,4509,1513,121,0,72.07,1,4
5,5,2025-11-05 08:43:17,4544,1555,260,0,151.17,0,0
5,5,2025-11-05 08:43:18,4599,1530,269,0,175.78,-6,0
5,5,2025-11-05 08:43:19,4634,1381,288,0,166.99,-7,1
5,5,2025-11-05 08:43:20,4669,1224,301,0,196.88,-7,-2
5,5,2025-11-05 08:43:21,4704,1056,256,0,128.32,-2,0
5,5,2025-11-05 08:43:22,4739,951,371,0,179.30,-1,1
5,5,2025-11-05 08:43:23,4774,768,384,0,179.30,-8,0
5,5,2025-11-05 08:43:24,4809,488,389,0,159.96,-6,0
5,5,2025-11-05 08:43:25,4844,380,412,0,159.96,-1,0
5,5,2025-11-05 08:43:28,4933,377,412,0,174.02,0,-1
5,5,2025-11-05 08:43:30,5006,387,409,0,159.96,0,-1
5,5,2025-11-05 08:43:31,5055,399,408,0,177.54,0,-1
5,5,2025-11-05 08:43:32,5090,435,402,0,177.54,0,-1
5,5,2025-11-05 08:43:35,5187,461,401,0,178.55,0,-1
5,5,2025-11-05 08:44:11,6398,-1,138,0,90.00,-1,7
5,5,2025-11-05 08:44:12,6433,-1,300,0,90.00,-1,5
5,5,2025-11-05 08:44:13,6468,-1,354,0,40.78,-1,0
5,5,2025-11-05 08:44:14,6503,47,402,0,7.38,0,0
5,5,2025-11-05 08:44:15,6538,120,400,0,332.23,1,0
5,5,2025-11-05 08:44:16,6573,140,400,0,2.11,0,0
5,5,2025-11-05 08:44:18,6646,255,404,0,349.80,0,0
5,5,2025-11-05 08:44:19,6681,298,402,0,356.84,5,-1
5,5,2025-11-05 08:44:20,6716,553,387,0,333.98,4,-1
5,5,2025-11-05 08:44:21,6751,740,317,0,7.38,2,-2
5,5,2025-11-05 08:44:22,6786,834,345,0,31.99,5,3
5,5,2025-11-05 08:44:23,6821,922,399,0,337.50,0,0
5,5,2025-11-05 08:44:24,6856,1094,331,0,337.50,2,-2
5,5,2025-11-05 08:44:25,6891,1157,313,0,349.80,5,-2
5,5,2025-11-05 08:44:26,6926,1324,294,0,9.14,6,0
5,5,2025-11-05 08:44:27,6961,1533,261,0,291.80,1,-1
5,5,2025-11-05 08:44:28,6996,1549,242,0,251.37,-2,-4
5,5,2025-11-05 08:44:29,7031,1490,7,0,267.19,-1,-9
5,5,2025-11-05 08:44:30,7066,1475,-250,0,275.98,0,-4
5,5,2025-11-05 08:44:31,7101,1492,-491,0,260.16,-1,-9
5,5,2025-11-05 08:44:33,7186,1475,-597,0,94.92,-1,5
5,5,2025-11-05 08:44:34,7221,1473,-500,0,29.88,2,1
5,5,2025-11-05 08:44:35,7256,1619,-412,0,80.86,1,0
5,5,2025-11-05 08:44:36,7291,1643,-277,0,110.74,0,3
5,5,2025-11-05 08:44:37,7326,1617,-57,0,84.38,0,7
5,5,2025-11-05 08:44:38,7361,1525,142,0,101.95,-4,7
5,5,2025-11-05 08:44:39,7396,1445,334,0,166.99,-1,1
