game_id,player_id,timestamp,tic,x,y,z,angle,momx
8,3,2025-11-27 10:37:35,36,-32,-240,24,90.09,-1,0
8,3,2025-11-27 10:37:36,71,-38,-186,24,96.99,-1,2
8,3,2025-11-27 10:37:37,106,-49,-34,24,82.62,-1,3
8,3,2025-11-27 10:37:38,141,-29,122,48,84.29,0,5
8,3,2025-11-27 10:37:39,176,-15,253,48,128.36,0,1
8,3,2025-11-27 10:37:40,211,-97,303,48,152.67,-2,0
8,3,2025-11-27 10:37:41,246,-139,298,56,112.54,-1,0
8,3,2025-11-27 10:37:42,281,-176,431,64,85.61,-1,1
8,3,2025-11-27 10:37:43,316,-154,427,64,22.50,0,-1
8,3,2025-11-27 10:37:44,351,-146,414,64,285.38,-1,2
8,3,2025-11-27 10:37:45,391,-157,431,148,275.49,0,-1
8,3,2025-11-27 10:37:46,426,-157,441,200,267.28,-1,2
8,3,2025-11-27 10:37:47,461,-225,380,64,291.75,-1,-2
8,3,2025-11-27 10:37:48,496,-172,375,64,54.14,3,1
8,3,2025-11-27 10:37:49,531,-145,404,64,117.38,0,1
8,3,2025-11-27 10:37:50,566,-162,431,64,85.56,-1,-1
8,3,2025-11-27 10:37:51,601,-181,405,192,47.86,1,0
8,3,2025-11-27 10:37:52,636,-152,492,200,107.40,-1,6
8,3,2025-11-27 10:37:53,672,-144,525,200,244.60,0,0
8,3,2025-11-27 10:37:54,708,-183,447,200,257.56,-2,-3
8,3,2025-11-27 10:37:55,743,-201,405,173,252.38,-2,-5
8,3,2025-11-27 10:37:56,778,-243,322,64,302.08,-2,1
8,3,2025-11-27 10:37:57,813,-237,306,64,5.05,-2,-1
8,3,2025-11-27 10:37:58,848,-145,304,64,359.69,0,0
8,3,2025-11-27 10:37:59,900,-122,296,56,343.12,0,-1
8,3,2025-11-27 10:38:00,935,-57,272,48,318.30,3,-2
8,3,2025-11-27 10:38:01,970,26,184,48,272.86,0,-3
8,3,2025-11-27 10:38:02,1005,38,-9,24,264.68,-1,-8
8,3,2025-11-27 10:38:03,1040,26,-168,24,261.61,-2,-9
8,3,2025-11-27 10:38:04,1075,-5,-336,32,266.44,-1,0
8,3,2025-11-27 10:38:05,1110,-8,-300,24,40.25,0,0
8,3,2025-11-27 10:38:06,1145,13,-283,24,79.45,0,0
8,3,2025-11-27 10:38:07,1180,47,-162,24,65.35,2,6
8,3,2025-11-27 10:38:08,1215,171,-4,24,17.62,9,4
8,3,2025-11-27 10:38:09,1250,347,89,24,74.97,3,3
8,3,2025-11-27 10:38:10,1285,386,133,24,117.77,0,-1
8,3,2025-11-27 10:38:11,1320,399,117,24,76.82,0,1
8,3,2025-11-27 10:38:12,1355,449,280,24,66.80,3,7
8,3,2025-11-27 10:38:13,1390,443,467,24,136.05,-7,8
8,3,2025-11-27 10:38:14,1425,396,522,24,61.74,0,1
8,3,2025-11-27 10:38:15,1460,399,540,24,64.20,1,5
8,3,2025-11-27 10:38:16,1495,484,659,24,13.49,9,4
8,3,2025-11-27 10:38:17,1530,716,684,24,0.62,8,-1
8,3,2025-11-27 10:38:19,1585,816,686,24,9.49,-1,-1
8,3,2025-11-27 10:38:20,1625,902,700,24,14.59,4,0
8,3,2025-11-27 10:38:21,1660,1061,758,56,30.41,4,2
8,3,2025-11-27 10:38:22,1695,1323,901,120,5.41,5,2
8,3,2025-11-27 10:38:23,1730,1441,924,136,351.87,5,-1
8,3,2025-11-27 10:38:24,1765,1548,844,152,260.07,-1,-8
8,3,2025-11-27 10:38:25,1800,1512,532,216,265.78,-1,-2
8,3,2025-11-27 10:38:26,1835,1476,414,248,218.45,-2,-3
8,3,2025-11-27 10:38:27,1870,1437,380,248,185.36,-3,-1
8,3,2025-11-27 10:38:28,1905,1290,381,248,168.53,-8,1
8,3,2025-11-27 10:38:29,1940,1109,361,248,203.20,-10,-5
8,3,2025-11-27 10:38:30,1975,1117,359,248,309.07,1,-4
8,3,2025-11-27 10:38:31,2010,1158,320,248,11.91,0,-1
8,3,2025-11-27 10:38:32,2045,1203,325,248,7.03,1,0
8,3,2025-11-27 10:38:33,2080,1435,329,248,16.57,5,0
8,3,2025-11-27 10:38:34,2115,1631,350,248,331.08,3,-1
8,3,2025-11-27 10:38:35,2151,1735,284,248,53.57,2,4
8,3,2025-11-27 10:38:36,2186,1775,374,248,120.94,-1,1
8,3,2025-11-27 10:38:37,2221,1686,393,248,193.45,-9,-4
8,3,2025-11-27 10:38:38,2256,1510,281,248,282.13,-4,-11
8,3,2025-11-27 10:38:39,2291,1426,123,216,263.19,-1,-4
8,3,2025-11-27 10:38:40,2326,1429,-62,170,297.73,0,-10
8,3,2025-11-27 10:38:41,2361,1455,-237,136,203.95,0,0
8,3,2025-11-27 10:38:42,2396,1531,-170,136,187.87,-8,-1
8,3,2025-11-27 10:38:43,2431,1154,-170,88,151.88,-9,4
8,3,2025-11-27 10:38:44,2466,864,-13,24,178.73,-1,0
8,3,2025-11-27 10:38:52,2761,825,-11,24,181.10,-7,-1
8,3,2025-11-27 10:38:53,2796,706,0,24,178.73,-7,0
8,3,2025-11-27 10:38:54,2831,567,0,24,191.91,-2,-1
8,3,2025-11-27 10:38:56,2874,470,-30,24,176.57,-7,-2
8,3,2025-11-27 10:38:57,2909,319,-11,24,81.43,-1,4
8,3,2025-11-27 10:38:58,2944,335,122,24,64.20,0,1
8,3,2025-11-27 10:38:59,2979,344,144,24,62.49,0,0
8,3,2025-11-27 10:39:00,3034,351,177,24,87.23,0,2
8,3,2025-11-27 10:39:01,3069,356,213,24,92.77,0,0
8,3,2025-11-27 10:39:02,3104,357,198,24,93.78,-1,1
8,3,2025-11-27 10:39:03,3139,405,377,24,45.04,2,3
8,3,2025-11-27 10:39:04,3174,416,471,24,118.96,-2,2
8,3,2025-11-27 10:39:05,3209,353,588,24,127.22,-3,3
8,3,2025-11-27 10:39:06,3244,311,666,24,51.59,-1,0
8,3,2025-11-27 10:39:07,3279,397,684,24,345.85,7,-2
8,3,2025-11-27 10:39:08,3314,538,651,24,8.88,1,0
8,3,2025-11-27 10:39:09,3349,801,686,24,135.26,4,-3
8,3,2025-11-27 10:39:10,3384,663,690,24,178.90,-4,-2
8,3,2025-11-27 10:39:11,3419,382,700,24,191.03,-16,0
8,3,2025-11-27 10:39:12,3454,113,665,24,220.43,-8,-4
8,3,2025-11-27 10:39:13,3489,7,521,48,266.66,-2,-8
8,3,2025-11-27 10:39:14,3524,-23,337,48,206.06,-2,-3
8,3,2025-11-27 10:39:15,3562,-48,304,48,181.80,-2,-2
8,3,2025-11-27 10:39:16,3597,-190,295,56,122.26,-2,0
8,3,2025-11-27 10:39:18,3639,-195,431,64,34.45,4,0
8,3,2025-11-27 10:39:19,3675,-145,410,64,285.12,0,-2
8,3,2025-11-27 10:39:20,3710,-154,431,64,281.25,-1,0
8,3,2025-11-27 10:39:22,3792,-167,439,200,130.61,-4,1
8,3,2025-11-27 10:39:23,3827,-201,525,200,113.51,1,-2
8,3,2025-11-27 10:39:24,3862,-119,515,200,266.31,0,0
8,3,2025-11-27 10:39:25,3897,-89,515,200,17.23,0,0
8,3,2025-11-27 10:39:26,3932,-104,506,200,193.71,0,-1
8,3,2025-11-27 10:39:27,3967,-191,527,200,273.78,0,1
8,3,2025-11-27 10:39:28,4006,-186,350,156,269.03,0,-10
8,3,2025-11-27 10:39:29,4050,-168,319,64,317.42,5,-6
8,3,2025-11-27 10:39:30,4085,-36,283,48,297.73,0,1
8,3,2025-11-27 10:39:31,4120,6,143,48,275.32,1,-7
8,3,2025-11-27 10:39:32,4155,4,-177,24,259.28,-2,-11
8,3,2025-11-27 10:39:33,4192,-16,-329,32,359.60,0,0
8,3,2025-11-27 10:39:34,4227,17,-293,27,94.17,0,4
8,3,2025-11-27 10:39:35,4262,13,-113,24,96.59,-1,13
8,3,2025-11-27 10:39:36,4297,-59,109,48,165.32,-6,2
8,3,2025-11-27 10:39:37,4332,-282,162,24,180.04,-3,0
8,3,2025-11-27 10:39:38,4367,-519,208,24,146.43,-2,-1
8,3,2025-11-27 10:39:39,4402,-694,327,24,158.55,-2,1
8,3,2025-11-27 10:39:40,4437,-711,340,24,168.44,-6,1
8,3,2025-11-27 10:39:41,4472,-851,373,24,164.93,-6,1
8,3,2025-11-27 10:39:42,4508,-925,390,24,164.93,-1,0
8,3,2025-11-27 10:39:43,4543,-982,397,24,179.38,-1,0
